ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalkWh,AveragekWh
93202,7,2013,Elec- Agricultural,Y,0,0,
93202,8,2013,Elec- Agricultural,Y,0,0,
93202,9,2013,Elec- Agricultural,Y,0,0,
93203,7,2013,Elec- Agricultural,Y,121,"9,798,578","80,980"
93203,8,2013,Elec- Agricultural,Y,122,"8,813,197","72,239"
93203,9,2013,Elec- Agricultural,Y,123,"6,975,334","56,710"
93204,7,2013,Elec- Agricultural,Y,0,0,
93204,8,2013,Elec- Agricultural,Y,0,0,
93204,9,2013,Elec- Agricultural,Y,0,0,
93206,7,2013,Elec- Agricultural,Y,0,0,
93206,8,2013,Elec- Agricultural,Y,0,0,
93206,9,2013,Elec- Agricultural,Y,0,0,
93210,7,2013,Elec- Agricultural,Y,0,0,
93210,8,2013,Elec- Agricultural,Y,0,0,
93210,9,2013,Elec- Agricultural,Y,0,0,
93212,7,2013,Elec- Agricultural,Y,0,0,
93212,8,2013,Elec- Agricultural,Y,0,0,
93212,9,2013,Elec- Agricultural,Y,0,0,
93215,7,2013,Elec- Agricultural,Y,0,0,
93215,8,2013,Elec- Agricultural,Y,0,0,
93215,9,2013,Elec- Agricultural,Y,0,0,
93219,7,2013,Elec- Agricultural,Y,0,0,
93219,8,2013,Elec- Agricultural,Y,0,0,
93219,9,2013,Elec- Agricultural,Y,0,0,
93225,7,2013,Elec- Agricultural,Y,0,0,
93225,8,2013,Elec- Agricultural,Y,0,0,
93225,9,2013,Elec- Agricultural,Y,0,0,
93230,7,2013,Elec- Agricultural,Y,510,"28,356,329","55,601"
93230,8,2013,Elec- Agricultural,Y,545,"27,580,300","50,606"
93230,9,2013,Elec- Agricultural,Y,550,"20,368,910","37,034"
93234,7,2013,Elec- Agricultural,Y,0,0,
93234,8,2013,Elec- Agricultural,Y,0,0,
93234,9,2013,Elec- Agricultural,Y,0,0,
93239,7,2013,Elec- Agricultural,Y,0,0,
93239,8,2013,Elec- Agricultural,Y,0,0,
93239,9,2013,Elec- Agricultural,Y,0,0,
93241,7,2013,Elec- Agricultural,Y,0,0,
93241,8,2013,Elec- Agricultural,Y,0,0,
93241,9,2013,Elec- Agricultural,Y,0,0,
93242,7,2013,Elec- Agricultural,Y,0,0,
93242,8,2013,Elec- Agricultural,Y,0,0,
93242,9,2013,Elec- Agricultural,Y,0,0,
93243,7,2013,Elec- Agricultural,Y,0,0,
93243,8,2013,Elec- Agricultural,Y,0,0,
93243,9,2013,Elec- Agricultural,Y,0,0,
93245,7,2013,Elec- Agricultural,Y,616,"21,122,467","34,290"
93245,8,2013,Elec- Agricultural,Y,507,"16,234,615","32,021"
93245,9,2013,Elec- Agricultural,Y,0,0,
93249,7,2013,Elec- Agricultural,Y,0,0,
93249,8,2013,Elec- Agricultural,Y,0,0,
93249,9,2013,Elec- Agricultural,Y,0,0,
93250,7,2013,Elec- Agricultural,Y,254,"14,657,610","57,707"
93250,8,2013,Elec- Agricultural,Y,173,"9,370,362","54,164"
93250,9,2013,Elec- Agricultural,Y,343,"9,662,844","28,172"
