ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALTHM,AVERAGETHM
92304,9,2017,Gas- Commercial,Y,0,0,
92304,10,2017,Gas- Commercial,Y,0,0,
92304,11,2017,Gas- Commercial,Y,0,0,
92304,12,2017,Gas- Commercial,Y,0,0,
92365,9,2017,Gas- Commercial,Y,0,0,
92365,10,2017,Gas- Commercial,Y,0,0,
92365,11,2017,Gas- Commercial,Y,0,0,
92365,12,2017,Gas- Commercial,Y,0,0,
93203,9,2017,Gas- Commercial,Y,0,0,
93203,10,2017,Gas- Commercial,Y,0,0,
93203,11,2017,Gas- Commercial,Y,0,0,
93203,12,2017,Gas- Commercial,Y,0,0,
93204,9,2017,Gas- Commercial,Y,0,0,
93204,10,2017,Gas- Commercial,Y,194,"28,538",147
93204,11,2017,Gas- Commercial,Y,0,0,
93204,12,2017,Gas- Commercial,Y,273,"101,982",374
93210,9,2017,Gas- Commercial,Y,0,0,
93210,10,2017,Gas- Commercial,Y,0,0,
93210,11,2017,Gas- Commercial,Y,0,0,
93210,12,2017,Gas- Commercial,Y,0,0,
93224,9,2017,Gas- Commercial,Y,0,0,
93224,10,2017,Gas- Commercial,Y,0,0,
93224,11,2017,Gas- Commercial,Y,0,0,
93224,12,2017,Gas- Commercial,Y,0,0,
93234,9,2017,Gas- Commercial,Y,0,0,
93234,10,2017,Gas- Commercial,Y,0,0,
93234,11,2017,Gas- Commercial,Y,0,0,
93234,12,2017,Gas- Commercial,Y,0,0,
93239,9,2017,Gas- Commercial,Y,0,0,
93239,10,2017,Gas- Commercial,Y,0,0,
93239,11,2017,Gas- Commercial,Y,0,0,
93239,12,2017,Gas- Commercial,Y,0,0,
93252,9,2017,Gas- Commercial,Y,0,0,
93252,10,2017,Gas- Commercial,Y,0,0,
93252,11,2017,Gas- Commercial,Y,0,0,
93252,12,2017,Gas- Commercial,Y,0,0,
93263,9,2017,Gas- Commercial,Y,0,0,
93263,10,2017,Gas- Commercial,Y,0,0,
93263,11,2017,Gas- Commercial,Y,0,0,
93263,12,2017,Gas- Commercial,Y,0,0,
93268,9,2017,Gas- Commercial,Y,0,0,
93268,10,2017,Gas- Commercial,Y,258,"15,944",62
93268,11,2017,Gas- Commercial,Y,275,"24,496",89
93268,12,2017,Gas- Commercial,Y,262,"42,266",161
93280,9,2017,Gas- Commercial,Y,0,0,
93280,10,2017,Gas- Commercial,Y,0,0,
93280,11,2017,Gas- Commercial,Y,0,0,
93280,12,2017,Gas- Commercial,Y,0,0,
93301,9,2017,Gas- Commercial,N,"1,134","85,654",76
93301,10,2017,Gas- Commercial,N,"1,141","105,045",92
93301,11,2017,Gas- Commercial,N,"1,142","144,723",127
93301,12,2017,Gas- Commercial,N,"1,156","323,057",279
93304,9,2017,Gas- Commercial,N,595,"69,717",117
93304,10,2017,Gas- Commercial,N,595,"74,584",125
93304,11,2017,Gas- Commercial,N,599,"84,251",141
93304,12,2017,Gas- Commercial,N,603,"149,942",249
93305,9,2017,Gas- Commercial,N,498,"44,211",89
93305,10,2017,Gas- Commercial,N,495,"53,440",108
93305,11,2017,Gas- Commercial,N,494,"64,706",131
93305,12,2017,Gas- Commercial,N,494,"133,475",270
93306,9,2017,Gas- Commercial,N,362,"62,784",173
93306,10,2017,Gas- Commercial,N,364,"78,557",216
93306,11,2017,Gas- Commercial,N,365,"86,731",238
93306,12,2017,Gas- Commercial,N,365,"142,215",390
93307,9,2017,Gas- Commercial,Y,655,"69,768",107
93307,10,2017,Gas- Commercial,Y,658,"82,572",125
93307,11,2017,Gas- Commercial,Y,"1,235","220,206",178
93307,12,2017,Gas- Commercial,Y,664,"228,059",343
93308,9,2017,Gas- Commercial,Y,506,"45,846",91
93308,10,2017,Gas- Commercial,Y,479,"51,942",108
93308,11,2017,Gas- Commercial,Y,501,"67,989",136
93308,12,2017,Gas- Commercial,Y,504,"143,236",284
93309,9,2017,Gas- Commercial,N,386,"50,222",130
93309,10,2017,Gas- Commercial,N,383,"57,340",150
93309,11,2017,Gas- Commercial,N,386,"71,011",184
93309,12,2017,Gas- Commercial,N,393,"141,605",360
93311,9,2017,Gas- Commercial,Y,0,0,
93311,10,2017,Gas- Commercial,Y,69,"11,248",163
93311,11,2017,Gas- Commercial,Y,0,0,
93311,12,2017,Gas- Commercial,Y,0,0,
93313,9,2017,Gas- Commercial,Y,571,"59,099",104
93313,10,2017,Gas- Commercial,N,530,"68,189",129
93313,11,2017,Gas- Commercial,Y,0,0,
93313,12,2017,Gas- Commercial,Y,581,"258,494",445
93314,9,2017,Gas- Commercial,Y,0,0,
93314,10,2017,Gas- Commercial,Y,0,0,
93314,11,2017,Gas- Commercial,Y,0,0,
93314,12,2017,Gas- Commercial,Y,0,0,
93432,9,2017,Gas- Commercial,Y,0,0,
93432,10,2017,Gas- Commercial,Y,0,0,
93432,11,2017,Gas- Commercial,Y,0,0,
93432,12,2017,Gas- Commercial,Y,0,0,
93446,9,2017,Gas- Commercial,Y,0,0,
93446,10,2017,Gas- Commercial,Y,0,0,
93446,11,2017,Gas- Commercial,Y,0,0,
93446,12,2017,Gas- Commercial,Y,0,0,
93450,9,2017,Gas- Commercial,Y,0,0,
93450,10,2017,Gas- Commercial,Y,0,0,
93450,11,2017,Gas- Commercial,Y,0,0,
93450,12,2017,Gas- Commercial,Y,0,0,
93461,9,2017,Gas- Commercial,Y,0,0,
93461,10,2017,Gas- Commercial,Y,0,0,
93461,11,2017,Gas- Commercial,Y,0,0,
93461,12,2017,Gas- Commercial,Y,0,0,
93516,9,2017,Gas- Commercial,Y,0,0,
93516,10,2017,Gas- Commercial,Y,0,0,
93516,11,2017,Gas- Commercial,Y,0,0,
93516,12,2017,Gas- Commercial,Y,0,0,
93523,9,2017,Gas- Commercial,Y,0,0,
93523,10,2017,Gas- Commercial,Y,0,0,
93523,11,2017,Gas- Commercial,Y,0,0,
93523,12,2017,Gas- Commercial,Y,0,0,
93555,9,2017,Gas- Commercial,Y,588,"48,511",83
93555,10,2017,Gas- Commercial,Y,591,"58,589",99
93555,11,2017,Gas- Commercial,Y,607,"81,411",134
93555,12,2017,Gas- Commercial,Y,619,"178,201",288
93561,9,2017,Gas- Commercial,Y,0,0,
93561,10,2017,Gas- Commercial,Y,0,0,
93561,11,2017,Gas- Commercial,Y,0,0,
93561,12,2017,Gas- Commercial,Y,0,0,
93562,9,2017,Gas- Commercial,Y,0,0,
93562,10,2017,Gas- Commercial,Y,0,0,
93562,11,2017,Gas- Commercial,Y,0,0,
93562,12,2017,Gas- Commercial,Y,0,0,
93608,9,2017,Gas- Commercial,Y,0,0,
93608,10,2017,Gas- Commercial,Y,0,0,
