,zipcode,month,year,totalcustomers_elec,totalkwh,class_factor,combined_factor,num_farmers,num_residents,num_workers,num_officers,totalcustomers_gas,totalthm,gas_residential,gas_commercial
97,93308,3,2013,8854,94749326,1,0,,,,8854.0,503.0,86941.0,,86941.0
98,93313,2,2013,2085,45221236,1,0,,,,2085.0,,,,
99,93313,3,2013,2114,51076422,1,0,,,,2114.0,,,,
100,93401,2,2013,2216,8421082,1,1,,,,2216.0,,,,
101,93401,3,2013,2229,9345241,1,1,,,,2229.0,,,,
102,93405,2,2013,642,3662097,1,0,,,,642.0,,,,
103,93405,3,2013,648,4256545,1,0,,,,648.0,,,,
104,93420,2,2013,1247,3529747,1,0,,,,1247.0,,,,
105,93420,3,2013,1270,4205909,1,0,,,,1270.0,,,,
106,93422,2,2013,1543,3946048,1,0,,,,1543.0,,,,
107,93422,3,2013,1466,4455892,1,0,,,,1466.0,,,,
108,93428,2,2013,305,435307,1,1,,,,305.0,,,,
109,93428,3,2013,308,482544,1,1,,,,308.0,,,,
110,93433,2,2013,1147,3075709,1,0,,,,1147.0,,,,
111,93433,3,2013,1163,3777618,1,0,,,,1163.0,,,,
112,93434,2,2013,111,179967,1,1,,,,111.0,,,,
113,93434,3,2013,112,202295,1,1,,,,112.0,,,,
114,93440,1,2013,70,112825,1,1,,,,70.0,,,,
115,93440,2,2013,70,108363,1,1,,,,70.0,,,,
116,93440,3,2013,71,120775,1,1,,,,71.0,,,,
117,93442,2,2013,646,1266175,1,0,,,,646.0,,,,
118,93442,3,2013,648,1463078,1,0,,,,648.0,,,,
119,93446,2,2013,2091,7746695,1,0,,,,2091.0,,,,
120,93446,3,2013,2128,9156439,1,0,,,,2128.0,,,,
121,93454,2,2013,4286,27567299,1,0,,,,4286.0,,,,
122,93454,3,2013,4319,30480024,1,0,,,,4319.0,,,,
123,93610,2,2013,470,1336587,1,0,,,,470.0,,,,
124,93610,3,2013,480,1689569,1,0,,,,480.0,,,,
125,93611,3,2013,879,6437827,1,0,,,,879.0,1023.0,244669.0,,244669.0
126,93612,2,2013,1938,11768806,1,0,,,,1938.0,1240.0,329804.0,,329804.0
127,93612,3,2013,1311,8708659,1,1,,,,1311.0,891.0,142736.0,,142736.0
128,93618,2,2013,1097,4282686,1,0,,,,1097.0,,,,
129,93618,3,2013,520,2831380,1,0,,,,520.0,,,,
130,93620,3,2013,440,910179,1,0,,,,440.0,,,,
131,93622,2,2013,935,2171509,1,0,,,,935.0,,,,
132,93622,3,2013,498,1458738,1,0,,,,498.0,,,,
133,93630,3,2013,549,2415325,1,0,,,,549.0,,,,
134,93631,2,2013,360,1067649,1,1,,,,360.0,,,,
135,93631,3,2013,360,1169813,1,1,,,,360.0,,,,
136,93635,2,2013,688,3823098,1,1,,,,688.0,410.0,106468.0,,106468.0
137,93635,3,2013,693,4233119,1,1,,,,693.0,,,,
138,93637,2,2013,936,5230737,1,1,,,,936.0,,,,
139,93637,3,2013,943,5817401,1,1,,,,943.0,,,,
140,93638,2,2013,704,2602284,1,1,,,,704.0,286.0,72015.0,,72015.0
141,93638,3,2013,711,2932212,1,1,,,,711.0,,,,
142,93644,2,2013,1239,3271967,1,0,,,,1239.0,,,,
143,93644,3,2013,1245,3575446,1,0,,,,1245.0,,,,
144,93647,3,2013,583,1992828,1,0,,,,583.0,,,,
145,93657,2,2013,1461,6151354,1,0,,,,1461.0,,,,
146,93657,3,2013,1477,7010670,1,0,,,,1477.0,,,,
