ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalkWh,AveragekWh
93202,4,2015,Elec- Agricultural,Y,0,0,
93202,5,2015,Elec- Agricultural,Y,0,0,
93202,6,2015,Elec- Agricultural,Y,0,0,
93203,4,2015,Elec- Agricultural,Y,144,"10,727,454","74,496"
93203,5,2015,Elec- Agricultural,Y,144,"11,844,762","82,255"
93203,6,2015,Elec- Agricultural,Y,143,"12,847,988","89,846"
93204,4,2015,Elec- Agricultural,Y,0,0,
93204,5,2015,Elec- Agricultural,Y,0,0,
93204,6,2015,Elec- Agricultural,Y,0,0,
93206,4,2015,Elec- Agricultural,Y,0,0,
93206,5,2015,Elec- Agricultural,Y,0,0,
93206,6,2015,Elec- Agricultural,Y,0,0,
93210,4,2015,Elec- Agricultural,Y,0,0,
93210,5,2015,Elec- Agricultural,N,58,"5,030,458","86,732"
93210,6,2015,Elec- Agricultural,Y,0,0,
93212,4,2015,Elec- Agricultural,Y,0,0,
93212,5,2015,Elec- Agricultural,Y,0,0,
93212,6,2015,Elec- Agricultural,Y,0,0,
93215,4,2015,Elec- Agricultural,Y,0,0,
93215,5,2015,Elec- Agricultural,Y,0,0,
93215,6,2015,Elec- Agricultural,Y,0,0,
93219,4,2015,Elec- Agricultural,Y,0,0,
93219,5,2015,Elec- Agricultural,Y,0,0,
93219,6,2015,Elec- Agricultural,Y,0,0,
93225,4,2015,Elec- Agricultural,Y,0,0,
93225,5,2015,Elec- Agricultural,Y,0,0,
93225,6,2015,Elec- Agricultural,Y,0,0,
93230,4,2015,Elec- Agricultural,Y,0,0,
93230,5,2015,Elec- Agricultural,Y,0,0,
93230,6,2015,Elec- Agricultural,Y,644,"45,978,649","71,395"
93234,4,2015,Elec- Agricultural,Y,0,0,
93234,5,2015,Elec- Agricultural,Y,0,0,
93234,6,2015,Elec- Agricultural,Y,0,0,
93239,4,2015,Elec- Agricultural,Y,0,0,
93239,5,2015,Elec- Agricultural,Y,0,0,
93239,6,2015,Elec- Agricultural,Y,0,0,
93241,4,2015,Elec- Agricultural,Y,0,0,
93241,5,2015,Elec- Agricultural,Y,0,0,
93241,6,2015,Elec- Agricultural,Y,0,0,
93242,4,2015,Elec- Agricultural,N,209,"1,985,786","9,501"
93242,5,2015,Elec- Agricultural,N,211,"2,843,678","13,477"
93242,6,2015,Elec- Agricultural,N,211,"3,821,693","18,112"
93243,4,2015,Elec- Agricultural,Y,0,0,
93243,5,2015,Elec- Agricultural,Y,0,0,
93243,6,2015,Elec- Agricultural,Y,0,0,
93245,4,2015,Elec- Agricultural,Y,0,0,
93245,5,2015,Elec- Agricultural,Y,"1,154","54,695,693","47,397"
93245,6,2015,Elec- Agricultural,Y,691,"35,260,874","51,029"
93249,4,2015,Elec- Agricultural,Y,0,0,
93249,5,2015,Elec- Agricultural,Y,0,0,
93249,6,2015,Elec- Agricultural,Y,0,0,
93250,4,2015,Elec- Agricultural,Y,0,0,
93250,5,2015,Elec- Agricultural,Y,175,"10,819,825","61,828"
93250,6,2015,Elec- Agricultural,Y,175,"12,283,324","70,190"
93251,4,2015,Elec- Agricultural,Y,0,0,
93251,5,2015,Elec- Agricultural,Y,0,0,
93251,6,2015,Elec- Agricultural,Y,0,0,
93252,4,2015,Elec- Agricultural,Y,0,0,
93252,5,2015,Elec- Agricultural,Y,0,0,
93252,6,2015,Elec- Agricultural,Y,0,0,
93254,4,2015,Elec- Agricultural,Y,0,0,
93254,5,2015,Elec- Agricultural,Y,0,0,
93254,6,2015,Elec- Agricultural,Y,0,0,
93256,4,2015,Elec- Agricultural,Y,0,0,
93256,5,2015,Elec- Agricultural,Y,0,0,
93256,6,2015,Elec- Agricultural,Y,0,0,
93262,5,2015,Elec- Agricultural,Y,0,0,
93262,6,2015,Elec- Agricultural,Y,0,0,
93263,4,2015,Elec- Agricultural,Y,0,0,
93263,5,2015,Elec- Agricultural,Y,0,0,
93263,6,2015,Elec- Agricultural,Y,0,0,
93266,4,2015,Elec- Agricultural,Y,0,0,
93266,5,2015,Elec- Agricultural,Y,0,0,
93266,6,2015,Elec- Agricultural,Y,0,0,
93268,4,2015,Elec- Agricultural,Y,0,0,
93268,5,2015,Elec- Agricultural,Y,0,0,
93268,6,2015,Elec- Agricultural,Y,0,0,
93272,4,2015,Elec- Agricultural,Y,0,0,
93272,5,2015,Elec- Agricultural,Y,0,0,
93272,6,2015,Elec- Agricultural,Y,0,0,
93274,4,2015,Elec- Agricultural,Y,0,0,
93274,5,2015,Elec- Agricultural,Y,0,0,
93274,6,2015,Elec- Agricultural,Y,0,0,
93276,4,2015,Elec- Agricultural,Y,0,0,
93276,5,2015,Elec- Agricultural,Y,0,0,
93276,6,2015,Elec- Agricultural,Y,0,0,
93277,4,2015,Elec- Agricultural,Y,0,0,
93277,5,2015,Elec- Agricultural,Y,0,0,
93277,6,2015,Elec- Agricultural,Y,0,0,
93280,4,2015,Elec- Agricultural,Y,"2,017",115652259,"57,339"
93280,5,2015,Elec- Agricultural,Y,760,"97,543,647","128,347"
93280,6,2015,Elec- Agricultural,Y,745,112973511,"151,642"
93286,4,2015,Elec- Agricultural,Y,0,0,
93286,5,2015,Elec- Agricultural,Y,0,0,
93286,6,2015,Elec- Agricultural,Y,0,0,
93291,4,2015,Elec- Agricultural,Y,0,0,
93291,5,2015,Elec- Agricultural,Y,0,0,
93291,6,2015,Elec- Agricultural,Y,0,0,
93292,4,2015,Elec- Agricultural,Y,0,0,
93292,5,2015,Elec- Agricultural,Y,0,0,
93292,6,2015,Elec- Agricultural,Y,0,0,
93301,4,2015,Elec- Agricultural,Y,0,0,
93301,5,2015,Elec- Agricultural,Y,0,0,
93301,6,2015,Elec- Agricultural,Y,0,0,
93304,4,2015,Elec- Agricultural,Y,0,0,
93304,5,2015,Elec- Agricultural,Y,114,"5,643,152","49,501"
93304,6,2015,Elec- Agricultural,Y,194,"8,724,563","44,972"
93305,4,2015,Elec- Agricultural,Y,0,0,
93305,5,2015,Elec- Agricultural,Y,0,0,
93305,6,2015,Elec- Agricultural,Y,0,0,
93306,4,2015,Elec- Agricultural,Y,0,0,
93306,5,2015,Elec- Agricultural,Y,0,0,
93306,6,2015,Elec- Agricultural,Y,0,0,
93307,4,2015,Elec- Agricultural,Y,653,"39,063,646","59,822"
93307,5,2015,Elec- Agricultural,Y,366,"23,118,995","63,167"
93307,6,2015,Elec- Agricultural,Y,365,"27,605,696","75,632"
93308,4,2015,Elec- Agricultural,Y,385,"20,866,366","54,198"
93308,5,2015,Elec- Agricultural,Y,190,"7,005,401","36,871"
93308,6,2015,Elec- Agricultural,Y,111,"5,514,275","49,678"
93309,4,2015,Elec- Agricultural,Y,0,0,
93309,5,2015,Elec- Agricultural,Y,0,0,
93309,6,2015,Elec- Agricultural,Y,0,0,
93311,4,2015,Elec- Agricultural,Y,0,0,
93311,5,2015,Elec- Agricultural,Y,0,0,
93311,6,2015,Elec- Agricultural,Y,0,0,
93312,4,2015,Elec- Agricultural,Y,0,0,
93312,5,2015,Elec- Agricultural,Y,0,0,
93312,6,2015,Elec- Agricultural,Y,0,0,
93313,4,2015,Elec- Agricultural,Y,0,0,
93313,5,2015,Elec- Agricultural,Y,370,"29,919,642","80,864"
93313,6,2015,Elec- Agricultural,Y,370,"35,276,056","95,341"
93314,4,2015,Elec- Agricultural,Y,0,0,
93314,5,2015,Elec- Agricultural,Y,0,0,
93314,6,2015,Elec- Agricultural,Y,0,0,
93401,4,2015,Elec- Agricultural,Y,0,0,
93401,5,2015,Elec- Agricultural,Y,0,0,
93401,6,2015,Elec- Agricultural,Y,0,0,
93402,4,2015,Elec- Agricultural,Y,0,0,
93402,5,2015,Elec- Agricultural,Y,0,0,
93402,6,2015,Elec- Agricultural,Y,0,0,
93405,4,2015,Elec- Agricultural,Y,0,0,
93405,5,2015,Elec- Agricultural,Y,0,0,
93405,6,2015,Elec- Agricultural,Y,0,0,
93420,4,2015,Elec- Agricultural,Y,635,"19,835,349","31,237"
93420,5,2015,Elec- Agricultural,Y,640,"21,742,988","33,973"
93420,6,2015,Elec- Agricultural,Y,648,"25,521,119","39,384"
93422,4,2015,Elec- Agricultural,Y,0,0,
93422,5,2015,Elec- Agricultural,Y,0,0,
93422,6,2015,Elec- Agricultural,Y,0,0,
93426,4,2015,Elec- Agricultural,Y,0,0,
93426,5,2015,Elec- Agricultural,Y,0,0,
93426,6,2015,Elec- Agricultural,Y,0,0,
93427,4,2015,Elec- Agricultural,Y,126,"450,484","3,575"
93427,5,2015,Elec- Agricultural,Y,0,0,
93427,6,2015,Elec- Agricultural,Y,0,0,
93428,4,2015,Elec- Agricultural,Y,0,0,
93428,5,2015,Elec- Agricultural,Y,0,0,
93428,6,2015,Elec- Agricultural,Y,0,0,
93430,4,2015,Elec- Agricultural,Y,0,0,
93430,5,2015,Elec- Agricultural,Y,0,0,
93430,6,2015,Elec- Agricultural,Y,0,0,
93432,4,2015,Elec- Agricultural,Y,0,0,
93432,5,2015,Elec- Agricultural,Y,266,"1,628,427","6,122"
93432,6,2015,Elec- Agricultural,Y,0,0,
93433,4,2015,Elec- Agricultural,Y,0,0,
