ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalThm,AverageThm
92304,1,2013,Gas- Commercial,Y,0,0,
92304,2,2013,Gas- Commercial,Y,0,0,
92304,3,2013,Gas- Commercial,Y,0,0,
92365,1,2013,Gas- Commercial,Y,0,0,
92365,2,2013,Gas- Commercial,Y,0,0,
92365,3,2013,Gas- Commercial,Y,0,0,
93203,1,2013,Gas- Commercial,Y,0,0,
93203,2,2013,Gas- Commercial,Y,0,0,
93203,3,2013,Gas- Commercial,Y,0,0,
93204,1,2013,Gas- Commercial,Y,224,"68,819",307
93204,2,2013,Gas- Commercial,Y,0,0,
93204,3,2013,Gas- Commercial,Y,0,0,
93210,1,2013,Gas- Commercial,Y,0,0,
93210,2,2013,Gas- Commercial,Y,0,0,
93210,3,2013,Gas- Commercial,Y,0,0,
93224,1,2013,Gas- Commercial,Y,0,0,
93224,2,2013,Gas- Commercial,Y,0,0,
93224,3,2013,Gas- Commercial,Y,0,0,
93234,1,2013,Gas- Commercial,Y,0,0,
93234,2,2013,Gas- Commercial,Y,0,0,
93234,3,2013,Gas- Commercial,Y,0,0,
93239,1,2013,Gas- Commercial,Y,0,0,
93239,2,2013,Gas- Commercial,Y,0,0,
93239,3,2013,Gas- Commercial,Y,0,0,
93252,1,2013,Gas- Commercial,Y,0,0,
93252,2,2013,Gas- Commercial,Y,0,0,
93252,3,2013,Gas- Commercial,Y,0,0,
93263,1,2013,Gas- Commercial,Y,0,0,
93263,2,2013,Gas- Commercial,Y,0,0,
93263,3,2013,Gas- Commercial,Y,0,0,
93268,1,2013,Gas- Commercial,Y,271,"57,114",211
93268,2,2013,Gas- Commercial,Y,284,"40,738",143
93268,3,2013,Gas- Commercial,Y,284,"32,373",114
93280,1,2013,Gas- Commercial,Y,0,0,
93280,2,2013,Gas- Commercial,Y,0,0,
93280,3,2013,Gas- Commercial,Y,0,0,
93301,1,2013,Gas- Commercial,N,"1,221","399,794",327
93301,2,2013,Gas- Commercial,N,"1,220","264,466",217
93301,3,2013,Gas- Commercial,N,"1,215","155,911",128
93304,1,2013,Gas- Commercial,N,628,"183,385",292
93304,2,2013,Gas- Commercial,N,623,"127,642",205
93304,3,2013,Gas- Commercial,Y,0,0,
93305,1,2013,Gas- Commercial,N,522,"186,245",357
93305,2,2013,Gas- Commercial,N,520,"131,684",253
93305,3,2013,Gas- Commercial,N,520,"87,458",168
93306,1,2013,Gas- Commercial,N,342,"178,821",523
93306,2,2013,Gas- Commercial,N,342,"131,283",384
93306,3,2013,Gas- Commercial,N,346,"94,931",274
93307,1,2013,Gas- Commercial,Y,639,"296,061",463
93307,2,2013,Gas- Commercial,Y,"1,116","360,474",323
93307,3,2013,Gas- Commercial,Y,"1,740","343,967",198
93308,1,2013,Gas- Commercial,Y,500,"186,996",374
93308,2,2013,Gas- Commercial,Y,503,"131,215",261
93308,3,2013,Gas- Commercial,Y,503,"86,941",173
93309,1,2013,Gas- Commercial,N,401,"165,845",414
93309,2,2013,Gas- Commercial,Y,436,"139,036",319
93309,3,2013,Gas- Commercial,Y,436,"93,783",215
93311,1,2013,Gas- Commercial,Y,0,0,
93311,2,2013,Gas- Commercial,Y,0,0,
93311,3,2013,Gas- Commercial,Y,0,0,
93313,1,2013,Gas- Commercial,Y,513,"244,877",477
93313,2,2013,Gas- Commercial,Y,0,0,
93313,3,2013,Gas- Commercial,Y,0,0,
93314,1,2013,Gas- Commercial,Y,0,0,
93314,2,2013,Gas- Commercial,Y,0,0,
93314,3,2013,Gas- Commercial,Y,0,0,
93432,1,2013,Gas- Commercial,Y,0,0,
93432,2,2013,Gas- Commercial,Y,0,0,
93432,3,2013,Gas- Commercial,Y,0,0,
93446,1,2013,Gas- Commercial,Y,0,0,
93446,2,2013,Gas- Commercial,Y,0,0,
93446,3,2013,Gas- Commercial,Y,0,0,
93450,1,2013,Gas- Commercial,Y,0,0,
93450,2,2013,Gas- Commercial,Y,0,0,
93450,3,2013,Gas- Commercial,Y,0,0,
93461,1,2013,Gas- Commercial,Y,0,0,
93461,2,2013,Gas- Commercial,Y,0,0,
93461,3,2013,Gas- Commercial,Y,0,0,
93516,1,2013,Gas- Commercial,Y,0,0,
93516,2,2013,Gas- Commercial,Y,0,0,
93516,3,2013,Gas- Commercial,Y,0,0,
93523,1,2013,Gas- Commercial,Y,0,0,
93523,2,2013,Gas- Commercial,Y,0,0,
93523,3,2013,Gas- Commercial,Y,0,0,
93555,1,2013,Gas- Commercial,Y,648,"223,240",345
93555,2,2013,Gas- Commercial,Y,648,"146,378",226
93555,3,2013,Gas- Commercial,Y,643,"88,350",137
93561,1,2013,Gas- Commercial,Y,0,0,
93561,2,2013,Gas- Commercial,Y,0,0,
93561,3,2013,Gas- Commercial,Y,0,0,
93562,1,2013,Gas- Commercial,Y,0,0,
93562,2,2013,Gas- Commercial,Y,0,0,
93562,3,2013,Gas- Commercial,Y,0,0,
93608,1,2013,Gas- Commercial,Y,0,0,
93608,2,2013,Gas- Commercial,Y,0,0,
93608,3,2013,Gas- Commercial,Y,0,0,
93610,1,2013,Gas- Commercial,N,181,"54,940",304
93610,2,2013,Gas- Commercial,N,188,"41,369",220
93610,3,2013,Gas- Commercial,Y,0,0,
93611,1,2013,Gas- Commercial,Y,0,0,
93611,2,2013,Gas- Commercial,Y,0,0,
93611,3,2013,Gas- Commercial,Y,"1,023","244,669",239
93612,1,2013,Gas- Commercial,Y,"1,234","461,035",374
93612,2,2013,Gas- Commercial,Y,"1,240","329,804",266
93612,3,2013,Gas- Commercial,N,891,"142,736",160
93616,1,2013,Gas- Commercial,Y,0,0,
93616,2,2013,Gas- Commercial,Y,0,0,
93616,3,2013,Gas- Commercial,Y,0,0,
93619,1,2013,Gas- Commercial,Y,0,0,
93619,2,2013,Gas- Commercial,Y,0,0,
93619,3,2013,Gas- Commercial,Y,0,0,
93620,1,2013,Gas- Commercial,Y,0,0,
93620,2,2013,Gas- Commercial,Y,0,0,
93620,3,2013,Gas- Commercial,Y,0,0,
93622,1,2013,Gas- Commercial,Y,0,0,
93622,2,2013,Gas- Commercial,Y,0,0,
93622,3,2013,Gas- Commercial,Y,0,0,
93625,1,2013,Gas- Commercial,Y,0,0,
93625,2,2013,Gas- Commercial,Y,0,0,
93625,3,2013,Gas- Commercial,Y,0,0,
93627,1,2013,Gas- Commercial,Y,0,0,
93627,2,2013,Gas- Commercial,Y,0,0,
93627,3,2013,Gas- Commercial,Y,0,0,
93630,1,2013,Gas- Commercial,Y,198,"74,542",376
93630,2,2013,Gas- Commercial,Y,0,0,
93630,3,2013,Gas- Commercial,Y,0,0,
93631,1,2013,Gas- Commercial,Y,0,0,
93631,2,2013,Gas- Commercial,Y,0,0,
93631,3,2013,Gas- Commercial,Y,0,0,
93635,1,2013,Gas- Commercial,N,409,"145,254",355
93635,2,2013,Gas- Commercial,N,410,"106,468",260
93635,3,2013,Gas- Commercial,Y,523,"103,822",199
93636,1,2013,Gas- Commercial,Y,0,0,
93636,2,2013,Gas- Commercial,Y,0,0,
93636,3,2013,Gas- Commercial,Y,0,0,
93637,1,2013,Gas- Commercial,Y,794,"396,691",500
93637,2,2013,Gas- Commercial,Y,896,"356,514",398
93637,3,2013,Gas- Commercial,Y,902,"250,281",277
93638,1,2013,Gas- Commercial,N,281,"101,793",362
93638,2,2013,Gas- Commercial,N,286,"72,015",252
93638,3,2013,Gas- Commercial,Y,477,"74,245",156
93640,1,2013,Gas- Commercial,Y,0,0,
93640,2,2013,Gas- Commercial,Y,0,0,
93640,3,2013,Gas- Commercial,Y,0,0,
93650,1,2013,Gas- Commercial,N,124,"41,235",333
93650,2,2013,Gas- Commercial,N,123,"28,183",229
93650,3,2013,Gas- Commercial,N,124,"17,259",139
93657,1,2013,Gas- Commercial,Y,0,0,
93657,2,2013,Gas- Commercial,Y,0,0,
93657,3,2013,Gas- Commercial,Y,0,0,
93660,1,2013,Gas- Commercial,Y,0,0,
93660,2,2013,Gas- Commercial,Y,0,0,
93660,3,2013,Gas- Commercial,Y,0,0,
93662,1,2013,Gas- Commercial,Y,774,"413,092",534
93662,2,2013,Gas- Commercial,Y,775,"302,654",391
93662,3,2013,Gas- Commercial,Y,455,"100,673",221
93668,1,2013,Gas- Commercial,Y,0,0,
93668,2,2013,Gas- Commercial,Y,0,0,
93668,3,2013,Gas- Commercial,Y,0,0,
93701,1,2013,Gas- Commercial,Y,0,0,
93701,2,2013,Gas- Commercial,Y,0,0,
93701,3,2013,Gas- Commercial,Y,0,0,
93702,1,2013,Gas- Commercial,N,420,"111,386",265
93702,2,2013,Gas- Commercial,N,420,"84,082",200
93702,3,2013,Gas- Commercial,N,419,"57,777",138
93703,1,2013,Gas- Commercial,N,595,"155,400",261
93703,2,2013,Gas- Commercial,N,598,"115,556",193
93703,3,2013,Gas- Commercial,N,587,"75,879",129
93704,1,2013,Gas- Commercial,Y,0,0,
93704,2,2013,Gas- Commercial,Y,0,0,
93704,3,2013,Gas- Commercial,Y,0,0,
93705,1,2013,Gas- Commercial,Y,0,0,
93705,2,2013,Gas- Commercial,Y,0,0,
93705,3,2013,Gas- Commercial,Y,0,0,
93706,1,2013,Gas- Commercial,N,594,"379,797",639
93706,2,2013,Gas- Commercial,Y,"1,027","414,333",403
93706,3,2013,Gas- Commercial,Y,837,"216,229",258
93710,1,2013,Gas- Commercial,N,860,"351,665",409
93710,2,2013,Gas- Commercial,Y,863,"263,508",305
93710,3,2013,Gas- Commercial,Y,865,"167,197",193
93711,1,2013,Gas- Commercial,Y,"1,147","305,287",266
93711,2,2013,Gas- Commercial,Y,"1,151","223,681",194
93711,3,2013,Gas- Commercial,Y,"1,151","140,724",122
93720,1,2013,Gas- Commercial,Y,943,"403,355",428
93720,2,2013,Gas- Commercial,Y,947,"306,085",323
93720,3,2013,Gas- Commercial,Y,949,"212,366",224
