ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalkWh,AveragekWh
93117,7,2015,Elec- Agricultural,Y,0,0,
93117,8,2015,Elec- Agricultural,Y,0,0,
93117,9,2015,Elec- Agricultural,Y,0,0,
93202,7,2015,Elec- Agricultural,Y,0,0,
93202,8,2015,Elec- Agricultural,Y,0,0,
93202,9,2015,Elec- Agricultural,Y,0,0,
93203,7,2015,Elec- Agricultural,Y,143,"12,022,691","84,075"
93203,8,2015,Elec- Agricultural,Y,144,"12,659,704","87,915"
93203,9,2015,Elec- Agricultural,Y,145,"10,926,834","75,357"
93204,7,2015,Elec- Agricultural,Y,0,0,
93204,8,2015,Elec- Agricultural,Y,0,0,
93204,9,2015,Elec- Agricultural,Y,0,0,
93206,7,2015,Elec- Agricultural,Y,0,0,
93206,8,2015,Elec- Agricultural,Y,0,0,
93206,9,2015,Elec- Agricultural,Y,0,0,
93210,7,2015,Elec- Agricultural,N,66,"6,345,042","96,137"
93210,8,2015,Elec- Agricultural,Y,0,0,
93210,9,2015,Elec- Agricultural,Y,0,0,
93212,7,2015,Elec- Agricultural,Y,0,0,
93212,8,2015,Elec- Agricultural,Y,0,0,
93212,9,2015,Elec- Agricultural,Y,0,0,
93215,7,2015,Elec- Agricultural,Y,0,0,
93215,8,2015,Elec- Agricultural,Y,0,0,
93215,9,2015,Elec- Agricultural,Y,0,0,
93219,7,2015,Elec- Agricultural,Y,0,0,
93219,8,2015,Elec- Agricultural,Y,0,0,
93219,9,2015,Elec- Agricultural,Y,0,0,
93225,7,2015,Elec- Agricultural,Y,0,0,
93225,8,2015,Elec- Agricultural,Y,0,0,
93225,9,2015,Elec- Agricultural,Y,0,0,
93230,7,2015,Elec- Agricultural,Y,647,"49,890,159","77,110"
93230,8,2015,Elec- Agricultural,Y,655,"46,893,508","71,593"
93230,9,2015,Elec- Agricultural,Y,0,0,
93234,7,2015,Elec- Agricultural,Y,0,0,
93234,8,2015,Elec- Agricultural,Y,0,0,
93234,9,2015,Elec- Agricultural,Y,307,"15,588,250","50,776"
93239,7,2015,Elec- Agricultural,Y,0,0,
93239,8,2015,Elec- Agricultural,Y,0,0,
93239,9,2015,Elec- Agricultural,Y,0,0,
93241,7,2015,Elec- Agricultural,Y,0,0,
93241,8,2015,Elec- Agricultural,Y,0,0,
93241,9,2015,Elec- Agricultural,Y,0,0,
93242,7,2015,Elec- Agricultural,Y,0,0,
93242,8,2015,Elec- Agricultural,Y,0,0,
93242,9,2015,Elec- Agricultural,Y,0,0,
93243,7,2015,Elec- Agricultural,Y,0,0,
93243,8,2015,Elec- Agricultural,Y,0,0,
93243,9,2015,Elec- Agricultural,Y,0,0,
93245,7,2015,Elec- Agricultural,Y,743,"34,475,296","46,400"
93245,8,2015,Elec- Agricultural,Y,645,"27,234,011","42,223"
93245,9,2015,Elec- Agricultural,Y,0,0,
93249,7,2015,Elec- Agricultural,Y,0,0,
93249,8,2015,Elec- Agricultural,Y,0,0,
