ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalkWh,AveragekWh
93202,7,2014,Elec- Agricultural,Y,0,0,
93202,8,2014,Elec- Agricultural,Y,0,0,
93202,9,2014,Elec- Agricultural,Y,0,0,
93203,7,2014,Elec- Agricultural,Y,136,"13,191,073","96,993"
93203,8,2014,Elec- Agricultural,Y,137,"11,540,402","84,237"
93203,9,2014,Elec- Agricultural,Y,138,"9,836,448","71,279"
93204,7,2014,Elec- Agricultural,Y,0,0,
93204,8,2014,Elec- Agricultural,Y,0,0,
93204,9,2014,Elec- Agricultural,Y,0,0,
93206,7,2014,Elec- Agricultural,Y,0,0,
93206,8,2014,Elec- Agricultural,Y,0,0,
93206,9,2014,Elec- Agricultural,Y,0,0,
93210,7,2014,Elec- Agricultural,Y,0,0,
93210,8,2014,Elec- Agricultural,Y,0,0,
93210,9,2014,Elec- Agricultural,Y,0,0,
93212,7,2014,Elec- Agricultural,Y,0,0,
93212,8,2014,Elec- Agricultural,Y,0,0,
93212,9,2014,Elec- Agricultural,Y,0,0,
93215,7,2014,Elec- Agricultural,Y,0,0,
93215,8,2014,Elec- Agricultural,Y,0,0,
93215,9,2014,Elec- Agricultural,Y,0,0,
93219,7,2014,Elec- Agricultural,Y,0,0,
93219,8,2014,Elec- Agricultural,Y,0,0,
93219,9,2014,Elec- Agricultural,Y,0,0,
93225,7,2014,Elec- Agricultural,Y,0,0,
93225,8,2014,Elec- Agricultural,Y,0,0,
93225,9,2014,Elec- Agricultural,Y,0,0,
93230,7,2014,Elec- Agricultural,Y,604,"41,387,667","68,523"
93230,8,2014,Elec- Agricultural,Y,605,"39,372,131","65,078"
93230,9,2014,Elec- Agricultural,Y,0,0,
93234,7,2014,Elec- Agricultural,Y,0,0,
93234,8,2014,Elec- Agricultural,Y,0,0,
93234,9,2014,Elec- Agricultural,Y,0,0,
93239,7,2014,Elec- Agricultural,Y,0,0,
93239,8,2014,Elec- Agricultural,Y,0,0,
93239,9,2014,Elec- Agricultural,Y,0,0,
93241,7,2014,Elec- Agricultural,Y,0,0,
93241,8,2014,Elec- Agricultural,Y,0,0,
93241,9,2014,Elec- Agricultural,Y,0,0,
93242,7,2014,Elec- Agricultural,N,213,"3,505,906","16,460"
93242,8,2014,Elec- Agricultural,N,211,"2,982,251","14,134"
93242,9,2014,Elec- Agricultural,N,207,"2,097,250","10,132"
93243,7,2014,Elec- Agricultural,Y,0,0,
93243,8,2014,Elec- Agricultural,Y,0,0,
93243,9,2014,Elec- Agricultural,Y,0,0,
93245,7,2014,Elec- Agricultural,Y,729,"31,937,207","43,810"
93245,8,2014,Elec- Agricultural,Y,555,"20,013,070","36,060"
93245,9,2014,Elec- Agricultural,Y,0,0,
93249,7,2014,Elec- Agricultural,Y,0,0,
93249,8,2014,Elec- Agricultural,Y,0,0,
93249,9,2014,Elec- Agricultural,Y,0,0,
93250,7,2014,Elec- Agricultural,Y,170,"11,478,572","67,521"
93250,8,2014,Elec- Agricultural,Y,168,"9,757,321","58,079"
93250,9,2014,Elec- Agricultural,N,165,"7,684,989","46,576"
93251,7,2014,Elec- Agricultural,Y,0,0,
93251,8,2014,Elec- Agricultural,Y,0,0,
93251,9,2014,Elec- Agricultural,Y,0,0,
93252,7,2014,Elec- Agricultural,Y,0,0,
93252,8,2014,Elec- Agricultural,Y,0,0,
93252,9,2014,Elec- Agricultural,Y,0,0,
93254,7,2014,Elec- Agricultural,Y,0,0,
93254,8,2014,Elec- Agricultural,Y,0,0,
93254,9,2014,Elec- Agricultural,Y,0,0,
93256,7,2014,Elec- Agricultural,Y,0,0,
93256,8,2014,Elec- Agricultural,Y,0,0,
93256,9,2014,Elec- Agricultural,Y,0,0,
93263,7,2014,Elec- Agricultural,Y,0,0,
93263,8,2014,Elec- Agricultural,Y,0,0,
93263,9,2014,Elec- Agricultural,Y,0,0,
93266,7,2014,Elec- Agricultural,Y,0,0,
93266,8,2014,Elec- Agricultural,Y,0,0,
93266,9,2014,Elec- Agricultural,Y,0,0,
93268,7,2014,Elec- Agricultural,Y,0,0,
93268,8,2014,Elec- Agricultural,Y,0,0,
93268,9,2014,Elec- Agricultural,Y,0,0,
93272,7,2014,Elec- Agricultural,Y,0,0,
93272,8,2014,Elec- Agricultural,Y,0,0,
93272,9,2014,Elec- Agricultural,Y,0,0,
93274,7,2014,Elec- Agricultural,Y,0,0,
93274,8,2014,Elec- Agricultural,Y,0,0,
93274,9,2014,Elec- Agricultural,Y,0,0,
93276,7,2014,Elec- Agricultural,Y,0,0,
93276,8,2014,Elec- Agricultural,Y,0,0,
93276,9,2014,Elec- Agricultural,Y,0,0,
93277,7,2014,Elec- Agricultural,Y,0,0,
93277,8,2014,Elec- Agricultural,Y,0,0,
93277,9,2014,Elec- Agricultural,Y,0,0,
93280,7,2014,Elec- Agricultural,Y,743,119617316,"160,992"
93280,8,2014,Elec- Agricultural,Y,739,106768656,"144,477"
93280,9,2014,Elec- Agricultural,Y,"1,788",117192467,"65,544"
93286,7,2014,Elec- Agricultural,Y,0,0,
93286,8,2014,Elec- Agricultural,Y,0,0,
93286,9,2014,Elec- Agricultural,Y,173,"1,027,987","5,942"
93291,7,2014,Elec- Agricultural,Y,0,0,
93291,8,2014,Elec- Agricultural,Y,0,0,
93291,9,2014,Elec- Agricultural,Y,0,0,
93292,7,2014,Elec- Agricultural,Y,0,0,
93292,8,2014,Elec- Agricultural,Y,0,0,
93292,9,2014,Elec- Agricultural,Y,0,0,
93301,7,2014,Elec- Agricultural,Y,0,0,
93301,8,2014,Elec- Agricultural,Y,0,0,
93301,9,2014,Elec- Agricultural,Y,0,0,
93304,7,2014,Elec- Agricultural,Y,196,"8,497,169","43,353"
93304,8,2014,Elec- Agricultural,Y,178,"7,501,676","42,144"
93304,9,2014,Elec- Agricultural,Y,118,"4,480,916","37,974"
93305,7,2014,Elec- Agricultural,Y,0,0,
93305,8,2014,Elec- Agricultural,Y,0,0,
93305,9,2014,Elec- Agricultural,Y,0,0,
93306,7,2014,Elec- Agricultural,Y,0,0,
93306,8,2014,Elec- Agricultural,Y,0,0,
93306,9,2014,Elec- Agricultural,Y,0,0,
93307,7,2014,Elec- Agricultural,Y,357,"31,065,793","87,019"
93307,8,2014,Elec- Agricultural,Y,355,"27,358,408","77,066"
93307,9,2014,Elec- Agricultural,Y,365,"22,414,526","61,410"
93308,7,2014,Elec- Agricultural,Y,110,"5,319,976","48,363"
93308,8,2014,Elec- Agricultural,Y,128,"5,333,077","41,665"
93308,9,2014,Elec- Agricultural,Y,190,"6,043,653","31,809"
93309,7,2014,Elec- Agricultural,Y,0,0,
93309,8,2014,Elec- Agricultural,Y,0,0,
93309,9,2014,Elec- Agricultural,Y,0,0,
93311,7,2014,Elec- Agricultural,Y,149,"21,937,713","147,233"
93311,8,2014,Elec- Agricultural,Y,0,0,
93311,9,2014,Elec- Agricultural,Y,0,0,
93312,7,2014,Elec- Agricultural,Y,0,0,
93312,8,2014,Elec- Agricultural,Y,0,0,
93312,9,2014,Elec- Agricultural,Y,0,0,
93313,7,2014,Elec- Agricultural,N,175,"8,400,853","48,005"
93313,8,2014,Elec- Agricultural,Y,372,"33,457,162","89,939"
93313,9,2014,Elec- Agricultural,Y,379,"26,934,812","71,068"
93314,7,2014,Elec- Agricultural,Y,0,0,
93314,8,2014,Elec- Agricultural,Y,0,0,
93314,9,2014,Elec- Agricultural,Y,0,0,
93401,7,2014,Elec- Agricultural,Y,0,0,
93401,8,2014,Elec- Agricultural,Y,197,"584,635","2,968"
93401,9,2014,Elec- Agricultural,Y,195,"565,862","2,902"
93402,7,2014,Elec- Agricultural,Y,0,0,
93402,8,2014,Elec- Agricultural,Y,0,0,
93402,9,2014,Elec- Agricultural,Y,0,0,
93405,7,2014,Elec- Agricultural,Y,0,0,
93405,8,2014,Elec- Agricultural,Y,0,0,
93405,9,2014,Elec- Agricultural,Y,0,0,
93420,7,2014,Elec- Agricultural,Y,"1,562","39,245,132","25,125"
93420,8,2014,Elec- Agricultural,Y,"1,016","25,378,193","24,979"
93420,9,2014,Elec- Agricultural,Y,612,"20,170,091","32,958"
93422,7,2014,Elec- Agricultural,Y,0,0,
93422,8,2014,Elec- Agricultural,Y,0,0,
93422,9,2014,Elec- Agricultural,Y,0,0,
93426,7,2014,Elec- Agricultural,Y,0,0,
93426,8,2014,Elec- Agricultural,Y,0,0,
93426,9,2014,Elec- Agricultural,Y,0,0,
93427,7,2014,Elec- Agricultural,Y,0,0,
93427,8,2014,Elec- Agricultural,Y,0,0,
93427,9,2014,Elec- Agricultural,Y,0,0,
93428,7,2014,Elec- Agricultural,Y,0,0,
93428,8,2014,Elec- Agricultural,Y,0,0,
93428,9,2014,Elec- Agricultural,Y,0,0,
93430,7,2014,Elec- Agricultural,Y,0,0,
93430,8,2014,Elec- Agricultural,Y,0,0,
93430,9,2014,Elec- Agricultural,Y,0,0,
93432,7,2014,Elec- Agricultural,Y,0,0,
93432,8,2014,Elec- Agricultural,Y,256,"2,090,873","8,167"
93432,9,2014,Elec- Agricultural,Y,0,0,
93433,7,2014,Elec- Agricultural,Y,0,0,
93433,8,2014,Elec- Agricultural,Y,0,0,
93433,9,2014,Elec- Agricultural,Y,0,0,
93434,7,2014,Elec- Agricultural,Y,0,0,
93434,8,2014,Elec- Agricultural,Y,0,0,
93434,9,2014,Elec- Agricultural,Y,0,0,
93435,7,2014,Elec- Agricultural,Y,0,0,
93435,8,2014,Elec- Agricultural,Y,0,0,
93435,9,2014,Elec- Agricultural,Y,0,0,
93436,7,2014,Elec- Agricultural,Y,0,0,
93436,8,2014,Elec- Agricultural,Y,0,0,
93436,9,2014,Elec- Agricultural,Y,0,0,
93437,7,2014,Elec- Agricultural,Y,0,0,
93437,8,2014,Elec- Agricultural,Y,0,0,
93437,9,2014,Elec- Agricultural,Y,0,0,
93441,7,2014,Elec- Agricultural,Y,0,0,
93441,8,2014,Elec- Agricultural,Y,0,0,
93441,9,2014,Elec- Agricultural,Y,0,0,
93442,7,2014,Elec- Agricultural,Y,0,0,
93442,8,2014,Elec- Agricultural,Y,0,0,
93442,9,2014,Elec- Agricultural,Y,0,0,
93444,7,2014,Elec- Agricultural,Y,0,0,
93444,8,2014,Elec- Agricultural,Y,0,0,
93444,9,2014,Elec- Agricultural,Y,0,0,
93445,7,2014,Elec- Agricultural,Y,0,0,
93445,8,2014,Elec- Agricultural,Y,0,0,
93445,9,2014,Elec- Agricultural,Y,0,0,
93446,7,2014,Elec- Agricultural,Y,509,"3,293,040","6,470"
93446,8,2014,Elec- Agricultural,Y,543,"3,585,155","6,602"
93446,9,2014,Elec- Agricultural,Y,465,"2,343,168","5,039"
93449,7,2014,Elec- Agricultural,Y,0,0,
93449,8,2014,Elec- Agricultural,Y,0,0,
93449,9,2014,Elec- Agricultural,Y,0,0,
93450,7,2014,Elec- Agricultural,Y,0,0,
93450,8,2014,Elec- Agricultural,Y,0,0,
93450,9,2014,Elec- Agricultural,Y,0,0,
93451,7,2014,Elec- Agricultural,N,105,"818,602","7,796"
93451,8,2014,Elec- Agricultural,Y,0,0,
93451,9,2014,Elec- Agricultural,Y,137,"1,450,753","10,589"
93453,7,2014,Elec- Agricultural,Y,0,0,
93453,8,2014,Elec- Agricultural,Y,0,0,
93453,9,2014,Elec- Agricultural,Y,0,0,
93454,7,2014,Elec- Agricultural,Y,0,0,
93454,8,2014,Elec- Agricultural,Y,0,0,
93454,9,2014,Elec- Agricultural,Y,0,0,
93455,7,2014,Elec- Agricultural,Y,0,0,
93455,8,2014,Elec- Agricultural,Y,0,0,
93455,9,2014,Elec- Agricultural,Y,0,0,
93458,7,2014,Elec- Agricultural,Y,0,0,
93458,8,2014,Elec- Agricultural,Y,0,0,
93458,9,2014,Elec- Agricultural,Y,0,0,
93460,7,2014,Elec- Agricultural,Y,0,0,
93460,8,2014,Elec- Agricultural,Y,0,0,
93460,9,2014,Elec- Agricultural,Y,405,"2,221,392","5,485"
93461,7,2014,Elec- Agricultural,Y,0,0,
93461,8,2014,Elec- Agricultural,Y,0,0,
93461,9,2014,Elec- Agricultural,Y,0,0,
93463,7,2014,Elec- Agricultural,Y,0,0,
93463,8,2014,Elec- Agricultural,Y,0,0,
93463,9,2014,Elec- Agricultural,Y,0,0,
93465,7,2014,Elec- Agricultural,Y,0,0,
93465,8,2014,Elec- Agricultural,N,115,"251,905","2,190"
93465,9,2014,Elec- Agricultural,Y,235,"542,509","2,309"
93601,7,2014,Elec- Agricultural,Y,0,0,
93601,8,2014,Elec- Agricultural,Y,0,0,
93601,9,2014,Elec- Agricultural,Y,0,0,
93602,7,2014,Elec- Agricultural,Y,0,0,
93602,8,2014,Elec- Agricultural,Y,0,0,
93602,9,2014,Elec- Agricultural,Y,0,0,
93603,7,2014,Elec- Agricultural,Y,0,0,
93603,8,2014,Elec- Agricultural,Y,0,0,
93603,9,2014,Elec- Agricultural,Y,0,0,
93608,7,2014,Elec- Agricultural,Y,151,"11,043,152","73,133"
93608,8,2014,Elec- Agricultural,Y,0,0,
93608,9,2014,Elec- Agricultural,N,64,"5,536,564","86,509"
93609,7,2014,Elec- Agricultural,Y,272,"5,131,830","18,867"
93609,8,2014,Elec- Agricultural,Y,0,0,
93609,9,2014,Elec- Agricultural,Y,0,0,
93610,7,2014,Elec- Agricultural,N,382,"17,052,045","44,639"
93610,8,2014,Elec- Agricultural,N,386,"14,520,979","37,619"
93610,9,2014,Elec- Agricultural,N,381,"11,933,471","31,321"
93611,7,2014,Elec- Agricultural,Y,0,0,
93611,8,2014,Elec- Agricultural,Y,0,0,
93611,9,2014,Elec- Agricultural,Y,0,0,
93612,7,2014,Elec- Agricultural,Y,0,0,
93612,8,2014,Elec- Agricultural,Y,0,0,
93612,9,2014,Elec- Agricultural,Y,0,0,
93614,7,2014,Elec- Agricultural,Y,0,0,
