ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALTHM,AVERAGETHM
92304,7,2017,Gas- Commercial,Y,0,0,
92304,8,2017,Gas- Commercial,Y,0,0,
92304,9,2017,Gas- Commercial,Y,0,0,
92365,7,2017,Gas- Commercial,Y,0,0,
92365,8,2017,Gas- Commercial,Y,0,0,
92365,9,2017,Gas- Commercial,Y,0,0,
93203,7,2017,Gas- Commercial,Y,0,0,
93203,8,2017,Gas- Commercial,Y,0,0,
93203,9,2017,Gas- Commercial,Y,0,0,
93204,7,2017,Gas- Commercial,Y,0,0,
93204,8,2017,Gas- Commercial,Y,0,0,
93204,9,2017,Gas- Commercial,Y,0,0,
93210,7,2017,Gas- Commercial,Y,0,0,
93210,8,2017,Gas- Commercial,Y,0,0,
93210,9,2017,Gas- Commercial,Y,0,0,
93224,7,2017,Gas- Commercial,Y,0,0,
93224,8,2017,Gas- Commercial,Y,0,0,
93224,9,2017,Gas- Commercial,Y,0,0,
93234,7,2017,Gas- Commercial,Y,0,0,
93234,8,2017,Gas- Commercial,Y,0,0,
93234,9,2017,Gas- Commercial,Y,0,0,
93239,7,2017,Gas- Commercial,Y,0,0,
93239,8,2017,Gas- Commercial,Y,0,0,
93239,9,2017,Gas- Commercial,Y,0,0,
93252,7,2017,Gas- Commercial,Y,0,0,
93252,8,2017,Gas- Commercial,Y,0,0,
93252,9,2017,Gas- Commercial,Y,0,0,
93263,7,2017,Gas- Commercial,Y,0,0,
93263,8,2017,Gas- Commercial,Y,0,0,
93263,9,2017,Gas- Commercial,Y,0,0,
93268,7,2017,Gas- Commercial,Y,0,0,
93268,8,2017,Gas- Commercial,Y,0,0,
93268,9,2017,Gas- Commercial,Y,0,0,
93280,7,2017,Gas- Commercial,Y,0,0,
93280,8,2017,Gas- Commercial,Y,0,0,
93280,9,2017,Gas- Commercial,Y,0,0,
93301,7,2017,Gas- Commercial,Y,"1,638","137,992",84
93301,8,2017,Gas- Commercial,N,"1,133","84,689",75
93301,9,2017,Gas- Commercial,N,"1,134","85,023",75
93304,7,2017,Gas- Commercial,N,596,"67,611",113
93304,8,2017,Gas- Commercial,N,592,"66,457",112
93304,9,2017,Gas- Commercial,N,595,"69,567",117
93305,7,2017,Gas- Commercial,Y,0,0,
93305,8,2017,Gas- Commercial,N,499,"41,288",83
93305,9,2017,Gas- Commercial,N,499,"41,691",84
93306,7,2017,Gas- Commercial,N,362,"58,380",161
93306,8,2017,Gas- Commercial,N,361,"59,565",165
93306,9,2017,Gas- Commercial,N,362,"62,784",173
93307,7,2017,Gas- Commercial,Y,653,"66,862",102
93307,8,2017,Gas- Commercial,Y,654,"65,797",101
93307,9,2017,Gas- Commercial,Y,655,"69,768",107
93308,7,2017,Gas- Commercial,Y,507,"45,564",90
93308,8,2017,Gas- Commercial,Y,505,"45,468",90
93308,9,2017,Gas- Commercial,Y,508,"45,847",90
93309,7,2017,Gas- Commercial,N,387,"50,313",130
93309,8,2017,Gas- Commercial,N,386,"49,241",128
93309,9,2017,Gas- Commercial,N,386,"50,115",130
93311,7,2017,Gas- Commercial,Y,0,0,
93311,8,2017,Gas- Commercial,Y,0,0,
93311,9,2017,Gas- Commercial,Y,0,0,
93313,7,2017,Gas- Commercial,Y,571,"54,900",96
93313,8,2017,Gas- Commercial,Y,573,"55,708",97
93313,9,2017,Gas- Commercial,Y,570,"59,043",104
93314,7,2017,Gas- Commercial,Y,0,0,
93314,8,2017,Gas- Commercial,Y,0,0,
93314,9,2017,Gas- Commercial,Y,0,0,
93432,7,2017,Gas- Commercial,Y,0,0,
93432,8,2017,Gas- Commercial,Y,0,0,
93432,9,2017,Gas- Commercial,Y,0,0,
93446,7,2017,Gas- Commercial,Y,0,0,
93446,8,2017,Gas- Commercial,Y,0,0,
93446,9,2017,Gas- Commercial,Y,0,0,
93450,7,2017,Gas- Commercial,Y,0,0,
93450,8,2017,Gas- Commercial,Y,0,0,
93450,9,2017,Gas- Commercial,Y,0,0,
93461,7,2017,Gas- Commercial,Y,0,0,
93461,8,2017,Gas- Commercial,Y,0,0,
93461,9,2017,Gas- Commercial,Y,0,0,
93516,7,2017,Gas- Commercial,Y,0,0,
93516,8,2017,Gas- Commercial,Y,0,0,
93516,9,2017,Gas- Commercial,Y,0,0,
93523,7,2017,Gas- Commercial,Y,0,0,
93523,8,2017,Gas- Commercial,Y,0,0,
93523,9,2017,Gas- Commercial,Y,0,0,
93555,7,2017,Gas- Commercial,Y,590,"43,782",74
93555,8,2017,Gas- Commercial,Y,589,"47,195",80
93555,9,2017,Gas- Commercial,Y,588,"48,511",83
93561,7,2017,Gas- Commercial,Y,0,0,
93561,8,2017,Gas- Commercial,Y,0,0,
93561,9,2017,Gas- Commercial,Y,0,0,
93562,7,2017,Gas- Commercial,Y,0,0,
93562,8,2017,Gas- Commercial,Y,0,0,
93562,9,2017,Gas- Commercial,Y,0,0,
93608,7,2017,Gas- Commercial,Y,0,0,
93608,8,2017,Gas- Commercial,Y,0,0,
93608,9,2017,Gas- Commercial,Y,0,0,
93610,7,2017,Gas- Commercial,Y,0,0,
93610,8,2017,Gas- Commercial,Y,0,0,
93610,9,2017,Gas- Commercial,Y,0,0,
93611,7,2017,Gas- Commercial,Y,465,"52,954",114
93611,8,2017,Gas- Commercial,Y,462,"53,779",116
93611,9,2017,Gas- Commercial,Y,460,"60,436",131
93612,7,2017,Gas- Commercial,N,926,"96,445",104
93612,8,2017,Gas- Commercial,N,921,"103,265",112
93612,9,2017,Gas- Commercial,N,921,"101,329",110
93616,7,2017,Gas- Commercial,Y,0,0,
93616,8,2017,Gas- Commercial,Y,0,0,
93616,9,2017,Gas- Commercial,Y,0,0,
93619,7,2017,Gas- Commercial,Y,0,0,
93619,8,2017,Gas- Commercial,Y,0,0,
93619,9,2017,Gas- Commercial,Y,0,0,
93620,7,2017,Gas- Commercial,Y,0,0,
93620,8,2017,Gas- Commercial,Y,0,0,
93620,9,2017,Gas- Commercial,Y,0,0,
93622,7,2017,Gas- Commercial,Y,0,0,
93622,8,2017,Gas- Commercial,Y,317,"29,226",92
93622,9,2017,Gas- Commercial,Y,319,"29,020",91
93625,7,2017,Gas- Commercial,Y,0,0,
93625,8,2017,Gas- Commercial,Y,0,0,
93625,9,2017,Gas- Commercial,Y,0,0,
93627,7,2017,Gas- Commercial,Y,0,0,
93627,8,2017,Gas- Commercial,Y,0,0,
93627,9,2017,Gas- Commercial,Y,0,0,
93630,7,2017,Gas- Commercial,Y,0,0,
93630,8,2017,Gas- Commercial,Y,0,0,
93630,9,2017,Gas- Commercial,Y,0,0,
93631,7,2017,Gas- Commercial,Y,0,0,
93631,8,2017,Gas- Commercial,Y,0,0,
93631,9,2017,Gas- Commercial,Y,0,0,
93635,7,2017,Gas- Commercial,N,442,"51,551",117
93635,8,2017,Gas- Commercial,Y,556,"72,925",131
93635,9,2017,Gas- Commercial,N,446,"53,000",119
93636,7,2017,Gas- Commercial,Y,0,0,
93636,8,2017,Gas- Commercial,Y,0,0,
93636,9,2017,Gas- Commercial,Y,0,0,
93637,7,2017,Gas- Commercial,Y,"1,390","251,372",181
93637,8,2017,Gas- Commercial,Y,"1,072","224,031",209
93637,9,2017,Gas- Commercial,Y,"1,075","234,216",218
93638,7,2017,Gas- Commercial,Y,0,0,
93638,8,2017,Gas- Commercial,Y,0,0,
93638,9,2017,Gas- Commercial,Y,0,0,
93640,7,2017,Gas- Commercial,Y,0,0,
93640,8,2017,Gas- Commercial,Y,0,0,
93640,9,2017,Gas- Commercial,Y,0,0,
93650,7,2017,Gas- Commercial,N,122,"10,009",82
93650,8,2017,Gas- Commercial,N,123,"10,272",84
93650,9,2017,Gas- Commercial,N,123,"10,492",85
93657,7,2017,Gas- Commercial,N,317,"41,977",132
93657,8,2017,Gas- Commercial,N,320,"46,252",145
93657,9,2017,Gas- Commercial,N,323,"44,912",139
93660,7,2017,Gas- Commercial,Y,0,0,
93660,8,2017,Gas- Commercial,Y,0,0,
93660,9,2017,Gas- Commercial,Y,0,0,
93662,7,2017,Gas- Commercial,Y,0,0,
93662,8,2017,Gas- Commercial,Y,0,0,
93662,9,2017,Gas- Commercial,Y,354,"47,722",135
93668,7,2017,Gas- Commercial,Y,0,0,
93668,8,2017,Gas- Commercial,Y,0,0,
93668,9,2017,Gas- Commercial,Y,0,0,
93701,7,2017,Gas- Commercial,Y,0,0,
93701,8,2017,Gas- Commercial,Y,0,0,
93701,9,2017,Gas- Commercial,Y,0,0,
93702,7,2017,Gas- Commercial,N,397,"33,786",85
93702,8,2017,Gas- Commercial,N,394,"34,092",87
93702,9,2017,Gas- Commercial,N,394,"37,346",95
93703,7,2017,Gas- Commercial,Y,540,"46,829",87
93703,8,2017,Gas- Commercial,Y,533,"47,645",89
93703,9,2017,Gas- Commercial,Y,529,"51,000",96
93704,7,2017,Gas- Commercial,N,370,"27,915",75
93704,8,2017,Gas- Commercial,N,372,"28,082",75
93704,9,2017,Gas- Commercial,Y,578,"60,506",105
93705,7,2017,Gas- Commercial,N,205,"21,698",106
93705,8,2017,Gas- Commercial,N,205,"23,913",117
93705,9,2017,Gas- Commercial,Y,0,0,
93706,7,2017,Gas- Commercial,Y,"1,921","288,545",150
93706,8,2017,Gas- Commercial,Y,"1,915","301,312",157
93706,9,2017,Gas- Commercial,Y,"1,914","314,126",164
93710,7,2017,Gas- Commercial,Y,873,"99,818",114
93710,8,2017,Gas- Commercial,Y,873,"101,519",116
93710,9,2017,Gas- Commercial,Y,872,"109,328",125
93711,7,2017,Gas- Commercial,Y,"1,156","81,254",70
93711,8,2017,Gas- Commercial,Y,"1,159","81,018",70
93711,9,2017,Gas- Commercial,Y,"1,163","79,226",68
93720,7,2017,Gas- Commercial,Y,"1,007","138,218",137
93720,8,2017,Gas- Commercial,Y,"1,008","138,268",137
93720,9,2017,Gas- Commercial,Y,"1,003","139,558",139
93721,7,2017,Gas- Commercial,Y,0,0,
93721,8,2017,Gas- Commercial,Y,0,0,
93721,9,2017,Gas- Commercial,Y,0,0,
93722,7,2017,Gas- Commercial,N,847,"72,382",85
93722,8,2017,Gas- Commercial,N,848,"76,466",90
93722,9,2017,Gas- Commercial,N,843,"72,722",86
93723,7,2017,Gas- Commercial,Y,0,0,
93723,8,2017,Gas- Commercial,Y,0,0,
93723,9,2017,Gas- Commercial,Y,0,0,
93725,7,2017,Gas- Commercial,Y,776,"156,318",201
93725,8,2017,Gas- Commercial,Y,776,"153,116",197
93725,9,2017,Gas- Commercial,Y,423,"91,055",215
93726,7,2017,Gas- Commercial,N,623,"66,428",107
93726,8,2017,Gas- Commercial,N,623,"65,735",106
93726,9,2017,Gas- Commercial,N,623,"67,556",108
93727,7,2017,Gas- Commercial,N,"1,010","74,292",74
93727,8,2017,Gas- Commercial,N,"1,011","75,596",75
93727,9,2017,Gas- Commercial,N,"1,014","75,882",75
93728,7,2017,Gas- Commercial,Y,0,0,
93728,8,2017,Gas- Commercial,Y,0,0,
93728,9,2017,Gas- Commercial,Y,0,0,
93730,7,2017,Gas- Commercial,Y,0,0,
93730,8,2017,Gas- Commercial,Y,0,0,
93730,9,2017,Gas- Commercial,Y,0,0,
93740,7,2017,Gas- Commercial,Y,0,0,
93740,8,2017,Gas- Commercial,Y,0,0,
93740,9,2017,Gas- Commercial,Y,0,0,
93741,7,2017,Gas- Commercial,Y,0,0,
93741,8,2017,Gas- Commercial,Y,0,0,
93741,9,2017,Gas- Commercial,Y,0,0,
93901,7,2017,Gas- Commercial,Y,"1,159","159,612",138
93901,8,2017,Gas- Commercial,Y,"1,156","154,417",134
93901,9,2017,Gas- Commercial,Y,"1,156","148,547",129
93905,7,2017,Gas- Commercial,Y,455,"91,515",201
93905,8,2017,Gas- Commercial,N,360,"74,854",208
93905,9,2017,Gas- Commercial,Y,452,"83,981",186
93906,7,2017,Gas- Commercial,N,368,"83,920",228
93906,8,2017,Gas- Commercial,N,370,"80,049",216
93906,9,2017,Gas- Commercial,N,369,"76,307",207
93907,7,2017,Gas- Commercial,Y,0,0,
93907,8,2017,Gas- Commercial,Y,0,0,
93907,9,2017,Gas- Commercial,Y,0,0,
93908,7,2017,Gas- Commercial,Y,0,0,
93908,8,2017,Gas- Commercial,Y,0,0,
93908,9,2017,Gas- Commercial,Y,0,0,
93921,7,2017,Gas- Commercial,N,164,"42,413",259
93921,8,2017,Gas- Commercial,N,164,"39,985",244
93921,9,2017,Gas- Commercial,N,163,"32,668",200
93923,7,2017,Gas- Commercial,Y,0,0,
93923,8,2017,Gas- Commercial,Y,0,0,
93923,9,2017,Gas- Commercial,Y,0,0,
93924,7,2017,Gas- Commercial,Y,0,0,
93924,8,2017,Gas- Commercial,Y,0,0,
93924,9,2017,Gas- Commercial,Y,0,0,
93925,7,2017,Gas- Commercial,Y,0,0,
93925,8,2017,Gas- Commercial,Y,0,0,
93925,9,2017,Gas- Commercial,Y,0,0,
93926,7,2017,Gas- Commercial,Y,0,0,
93926,8,2017,Gas- Commercial,Y,0,0,
93926,9,2017,Gas- Commercial,Y,0,0,
93927,7,2017,Gas- Commercial,Y,0,0,
93927,8,2017,Gas- Commercial,Y,0,0,
93927,9,2017,Gas- Commercial,Y,0,0,
93930,7,2017,Gas- Commercial,Y,955,"139,156",146
