ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalThm,AverageThm
92304,4,2015,Gas- Commercial,Y,0,0,
92304,5,2015,Gas- Commercial,Y,0,0,
92304,6,2015,Gas- Commercial,Y,0,0,
92365,4,2015,Gas- Commercial,Y,0,0,
92365,5,2015,Gas- Commercial,Y,0,0,
92365,6,2015,Gas- Commercial,Y,0,0,
93203,4,2015,Gas- Commercial,Y,0,0,
93203,5,2015,Gas- Commercial,Y,0,0,
93203,6,2015,Gas- Commercial,Y,0,0,
93204,4,2015,Gas- Commercial,Y,0,0,
93204,5,2015,Gas- Commercial,Y,0,0,
93204,6,2015,Gas- Commercial,Y,0,0,
93210,4,2015,Gas- Commercial,Y,0,0,
93210,5,2015,Gas- Commercial,Y,0,0,
93210,6,2015,Gas- Commercial,Y,0,0,
93224,4,2015,Gas- Commercial,Y,0,0,
93224,5,2015,Gas- Commercial,Y,0,0,
93224,6,2015,Gas- Commercial,Y,0,0,
93234,4,2015,Gas- Commercial,Y,0,0,
93234,5,2015,Gas- Commercial,Y,0,0,
93234,6,2015,Gas- Commercial,Y,0,0,
93239,4,2015,Gas- Commercial,Y,0,0,
93239,5,2015,Gas- Commercial,Y,0,0,
93239,6,2015,Gas- Commercial,Y,0,0,
93252,4,2015,Gas- Commercial,Y,0,0,
93252,5,2015,Gas- Commercial,Y,0,0,
93252,6,2015,Gas- Commercial,Y,0,0,
93263,4,2015,Gas- Commercial,Y,0,0,
93263,5,2015,Gas- Commercial,Y,0,0,
93263,6,2015,Gas- Commercial,Y,0,0,
93268,4,2015,Gas- Commercial,Y,257,"16,453",64
93268,5,2015,Gas- Commercial,Y,0,0,
93268,6,2015,Gas- Commercial,Y,0,0,
93280,4,2015,Gas- Commercial,Y,0,0,
93280,5,2015,Gas- Commercial,Y,0,0,
93280,6,2015,Gas- Commercial,Y,0,0,
93301,4,2015,Gas- Commercial,N,"1,166","111,841",96
93301,5,2015,Gas- Commercial,N,"1,160","102,894",89
93301,6,2015,Gas- Commercial,N,"1,156","86,882",75
93304,4,2015,Gas- Commercial,Y,0,0,
93304,5,2015,Gas- Commercial,Y,0,0,
93304,6,2015,Gas- Commercial,N,629,"70,276",112
93305,4,2015,Gas- Commercial,Y,0,0,
93305,5,2015,Gas- Commercial,Y,0,0,
93305,6,2015,Gas- Commercial,N,507,"44,956",89
93306,4,2015,Gas- Commercial,N,361,"76,360",212
93306,5,2015,Gas- Commercial,Y,0,0,
93306,6,2015,Gas- Commercial,N,359,"66,145",184
93307,4,2015,Gas- Commercial,Y,"2,298","321,611",140
93307,5,2015,Gas- Commercial,Y,"3,065","498,824",163
93307,6,2015,Gas- Commercial,Y,650,"67,687",104
93308,4,2015,Gas- Commercial,Y,509,"58,203",114
93308,5,2015,Gas- Commercial,Y,800,"83,782",105
93308,6,2015,Gas- Commercial,Y,504,"47,866",95
93309,4,2015,Gas- Commercial,Y,449,"72,006",160
93309,5,2015,Gas- Commercial,Y,0,0,
93309,6,2015,Gas- Commercial,N,409,"47,647",116
93311,4,2015,Gas- Commercial,Y,0,0,
93311,5,2015,Gas- Commercial,Y,0,0,
93311,6,2015,Gas- Commercial,Y,0,0,
93313,4,2015,Gas- Commercial,Y,0,0,
93313,5,2015,Gas- Commercial,Y,0,0,
93313,6,2015,Gas- Commercial,Y,549,"57,715",105
93314,4,2015,Gas- Commercial,Y,0,0,
93314,5,2015,Gas- Commercial,Y,0,0,
93314,6,2015,Gas- Commercial,Y,0,0,
93432,4,2015,Gas- Commercial,Y,0,0,
93432,5,2015,Gas- Commercial,Y,0,0,
93432,6,2015,Gas- Commercial,Y,0,0,
93446,4,2015,Gas- Commercial,Y,0,0,
