ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALKWH,AVERAGEKWH
93203,7,2016,Elec- Agricultural,Y,152,"14,609,011","96,112"
93203,8,2016,Elec- Agricultural,Y,153,"14,570,779","95,234"
93203,9,2016,Elec- Agricultural,Y,155,"11,688,866","75,412"
93204,7,2016,Elec- Agricultural,Y,0,0,
93204,8,2016,Elec- Agricultural,Y,0,0,
93204,9,2016,Elec- Agricultural,Y,0,0,
93206,7,2016,Elec- Agricultural,N,124,"11,935,753","96,256"
93206,8,2016,Elec- Agricultural,N,124,"12,829,894","103,467"
93206,9,2016,Elec- Agricultural,Y,214,"13,203,910","61,701"
93210,7,2016,Elec- Agricultural,Y,0,0,
93210,8,2016,Elec- Agricultural,Y,0,0,
93210,9,2016,Elec- Agricultural,N,84,"4,720,257","56,194"
93212,7,2016,Elec- Agricultural,Y,0,0,
93212,8,2016,Elec- Agricultural,Y,0,0,
93212,9,2016,Elec- Agricultural,Y,0,0,
93215,7,2016,Elec- Agricultural,Y,0,0,
93215,8,2016,Elec- Agricultural,Y,0,0,
93215,9,2016,Elec- Agricultural,Y,0,0,
93219,7,2016,Elec- Agricultural,Y,0,0,
93219,8,2016,Elec- Agricultural,Y,0,0,
93219,9,2016,Elec- Agricultural,Y,0,0,
93225,7,2016,Elec- Agricultural,Y,0,0,
93225,8,2016,Elec- Agricultural,Y,0,0,
93225,9,2016,Elec- Agricultural,Y,0,0,
93230,7,2016,Elec- Agricultural,Y,647,"45,451,513","70,250"
93230,8,2016,Elec- Agricultural,Y,650,"43,461,921","66,864"
93230,9,2016,Elec- Agricultural,Y,0,0,
93234,7,2016,Elec- Agricultural,Y,0,0,
93234,8,2016,Elec- Agricultural,Y,0,0,
93234,9,2016,Elec- Agricultural,Y,0,0,
93239,7,2016,Elec- Agricultural,Y,0,0,
93239,8,2016,Elec- Agricultural,Y,0,0,
93239,9,2016,Elec- Agricultural,Y,0,0,
93241,7,2016,Elec- Agricultural,Y,0,0,
93241,8,2016,Elec- Agricultural,Y,0,0,
93241,9,2016,Elec- Agricultural,Y,0,0,
93242,7,2016,Elec- Agricultural,N,224,"4,867,520","21,730"
93242,8,2016,Elec- Agricultural,Y,0,0,
93242,9,2016,Elec- Agricultural,Y,0,0,
93243,7,2016,Elec- Agricultural,Y,0,0,
93243,8,2016,Elec- Agricultural,Y,0,0,
93243,9,2016,Elec- Agricultural,Y,0,0,
93245,7,2016,Elec- Agricultural,N,453,"7,432,906","16,408"
93245,8,2016,Elec- Agricultural,N,453,"7,162,711","15,812"
93245,9,2016,Elec- Agricultural,Y,0,0,
93249,7,2016,Elec- Agricultural,Y,0,0,
93249,8,2016,Elec- Agricultural,Y,0,0,
93249,9,2016,Elec- Agricultural,Y,0,0,
93250,7,2016,Elec- Agricultural,Y,175,"10,216,718","58,381"
93250,8,2016,Elec- Agricultural,Y,175,"8,313,459","47,505"
93250,9,2016,Elec- Agricultural,Y,176,"5,803,999","32,977"
93251,7,2016,Elec- Agricultural,Y,0,0,
93251,8,2016,Elec- Agricultural,Y,0,0,
93251,9,2016,Elec- Agricultural,Y,0,0,
93252,7,2016,Elec- Agricultural,Y,0,0,
93252,8,2016,Elec- Agricultural,Y,0,0,
93252,9,2016,Elec- Agricultural,Y,0,0,
93254,7,2016,Elec- Agricultural,Y,0,0,
93254,8,2016,Elec- Agricultural,Y,0,0,
93254,9,2016,Elec- Agricultural,Y,0,0,
93256,7,2016,Elec- Agricultural,Y,0,0,
93256,8,2016,Elec- Agricultural,Y,0,0,
93256,9,2016,Elec- Agricultural,Y,0,0,
93262,7,2016,Elec- Agricultural,Y,0,0,
93262,8,2016,Elec- Agricultural,Y,0,0,
93262,9,2016,Elec- Agricultural,Y,0,0,
93263,7,2016,Elec- Agricultural,Y,0,0,
93263,8,2016,Elec- Agricultural,Y,0,0,
93263,9,2016,Elec- Agricultural,Y,0,0,
93266,7,2016,Elec- Agricultural,Y,0,0,
93266,8,2016,Elec- Agricultural,Y,0,0,
93266,9,2016,Elec- Agricultural,Y,0,0,
93268,7,2016,Elec- Agricultural,Y,0,0,
93268,8,2016,Elec- Agricultural,Y,0,0,
93268,9,2016,Elec- Agricultural,Y,0,0,
93272,7,2016,Elec- Agricultural,Y,0,0,
93272,8,2016,Elec- Agricultural,Y,0,0,
93272,9,2016,Elec- Agricultural,Y,0,0,
93274,7,2016,Elec- Agricultural,Y,0,0,
93274,8,2016,Elec- Agricultural,Y,0,0,
93274,9,2016,Elec- Agricultural,Y,0,0,
93276,7,2016,Elec- Agricultural,Y,0,0,
93276,8,2016,Elec- Agricultural,Y,0,0,
93276,9,2016,Elec- Agricultural,Y,0,0,
93277,7,2016,Elec- Agricultural,Y,0,0,
93277,8,2016,Elec- Agricultural,Y,0,0,
93277,9,2016,Elec- Agricultural,Y,0,0,
93280,7,2016,Elec- Agricultural,Y,563,"64,669,558","114,866"
93280,8,2016,Elec- Agricultural,Y,562,"53,659,853","95,480"
93280,9,2016,Elec- Agricultural,Y,"1,704","79,876,808","46,876"
93286,7,2016,Elec- Agricultural,Y,0,0,
93286,8,2016,Elec- Agricultural,Y,0,0,
93286,9,2016,Elec- Agricultural,Y,175,"1,064,601","6,083"
93291,7,2016,Elec- Agricultural,Y,0,0,
93291,8,2016,Elec- Agricultural,Y,0,0,
93291,9,2016,Elec- Agricultural,Y,0,0,
93292,7,2016,Elec- Agricultural,Y,0,0,
93292,8,2016,Elec- Agricultural,Y,0,0,
93292,9,2016,Elec- Agricultural,Y,0,0,
93301,7,2016,Elec- Agricultural,Y,0,0,
93301,8,2016,Elec- Agricultural,Y,0,0,
93301,9,2016,Elec- Agricultural,Y,0,0,
93304,7,2016,Elec- Agricultural,Y,116,"4,364,573","37,626"
93304,8,2016,Elec- Agricultural,Y,116,"4,085,449","35,219"
93304,9,2016,Elec- Agricultural,Y,117,"2,813,837","24,050"
93305,7,2016,Elec- Agricultural,Y,0,0,
93305,8,2016,Elec- Agricultural,Y,0,0,
93305,9,2016,Elec- Agricultural,Y,0,0,
93306,7,2016,Elec- Agricultural,Y,0,0,
93306,8,2016,Elec- Agricultural,Y,0,0,
93306,9,2016,Elec- Agricultural,Y,0,0,
93307,7,2016,Elec- Agricultural,Y,377,"24,616,145","65,295"
93307,8,2016,Elec- Agricultural,Y,373,"23,885,574","64,036"
93307,9,2016,Elec- Agricultural,Y,377,"18,845,308","49,988"
93308,7,2016,Elec- Agricultural,Y,189,"6,669,565","35,289"
93308,8,2016,Elec- Agricultural,Y,189,"6,063,332","32,081"
93308,9,2016,Elec- Agricultural,Y,189,"4,724,880","24,999"
93309,7,2016,Elec- Agricultural,Y,0,0,
93309,8,2016,Elec- Agricultural,Y,0,0,
93309,9,2016,Elec- Agricultural,Y,0,0,
93311,7,2016,Elec- Agricultural,Y,173,"17,115,372","98,933"
93311,8,2016,Elec- Agricultural,Y,173,"15,164,736","87,657"
93311,9,2016,Elec- Agricultural,Y,0,0,
93312,7,2016,Elec- Agricultural,Y,0,0,
93312,8,2016,Elec- Agricultural,Y,0,0,
93312,9,2016,Elec- Agricultural,Y,0,0,
93313,7,2016,Elec- Agricultural,N,183,"5,976,809","32,660"
93313,8,2016,Elec- Agricultural,N,183,"6,101,247","33,340"
93313,9,2016,Elec- Agricultural,Y,264,"11,022,632","41,752"
93314,7,2016,Elec- Agricultural,Y,0,0,
93314,8,2016,Elec- Agricultural,Y,0,0,
93314,9,2016,Elec- Agricultural,Y,0,0,
93401,7,2016,Elec- Agricultural,Y,0,0,
93401,8,2016,Elec- Agricultural,Y,0,0,
93401,9,2016,Elec- Agricultural,Y,0,0,
93402,7,2016,Elec- Agricultural,Y,0,0,
93402,8,2016,Elec- Agricultural,Y,0,0,
93402,9,2016,Elec- Agricultural,Y,0,0,
93405,7,2016,Elec- Agricultural,Y,0,0,
93405,8,2016,Elec- Agricultural,Y,0,0,
93405,9,2016,Elec- Agricultural,Y,0,0,
93420,7,2016,Elec- Agricultural,Y,"1,046","44,535,089","42,577"
93420,8,2016,Elec- Agricultural,Y,"1,251","42,043,656","33,608"
93420,9,2016,Elec- Agricultural,Y,"1,258","32,470,057","25,811"
93422,7,2016,Elec- Agricultural,Y,0,0,
93422,8,2016,Elec- Agricultural,Y,0,0,
93422,9,2016,Elec- Agricultural,Y,0,0,
93426,7,2016,Elec- Agricultural,Y,0,0,
93426,8,2016,Elec- Agricultural,Y,0,0,
93426,9,2016,Elec- Agricultural,Y,0,0,
93427,7,2016,Elec- Agricultural,Y,0,0,
93427,8,2016,Elec- Agricultural,Y,0,0,
93427,9,2016,Elec- Agricultural,Y,0,0,
93428,7,2016,Elec- Agricultural,Y,0,0,
93428,8,2016,Elec- Agricultural,Y,0,0,
93428,9,2016,Elec- Agricultural,Y,0,0,
93429,7,2016,Elec- Agricultural,Y,0,0,
93429,8,2016,Elec- Agricultural,Y,0,0,
93429,9,2016,Elec- Agricultural,Y,0,0,
93430,7,2016,Elec- Agricultural,Y,0,0,
93430,8,2016,Elec- Agricultural,Y,0,0,
93430,9,2016,Elec- Agricultural,Y,0,0,
93432,7,2016,Elec- Agricultural,Y,0,0,
93432,8,2016,Elec- Agricultural,Y,0,0,
